class_str,feature,time_label,mean,std,n
stable_shrubs,SWIR1,2001_2002,0.3822879493236542,0.675848662853241,18990
stable_shrubs,SWIR1,2003_2004,0.39258936047554016,0.6354450583457947,18990
stable_shrubs,SWIR1,2005_2006,0.3724488317966461,0.6454035639762878,18990
stable_shrubs,SWIR1,2007_2008,0.3419385254383087,0.6307896971702576,18990
stable_shrubs,SWIR1,2009_2010,0.4192425608634949,0.7052177786827087,18990
stable_shrubs,SWIR1,2011_2012,0.3986285328865051,0.7880637049674988,18990
stable_shrubs,SWIR1,2013_2014,0.3700459897518158,0.7165526747703552,18990
stable_shrubs,SWIR1,2015_2016,0.311926931142807,0.6455474495887756,18990
stable_shrubs,SWIR2,1997_1998,0.48346975445747375,0.8961732387542725,18990
stable_shrubs,SWIR2,1999_2000,0.3611658811569214,0.876732349395752,18990
stable_shrubs,SWIR2,2001_2002,0.3980691730976105,0.9208769202232361,18990
stable_shrubs,SWIR2,2003_2004,0.3853000998497009,0.8159233927726746,18990
stable_shrubs,SWIR2,2005_2006,0.34084412455558777,0.8042569756507874,18990
stable_shrubs,SWIR2,2007_2008,0.3320337235927582,0.8434078693389893,18990
stable_shrubs,SWIR2,2009_2010,0.3996546268463135,0.8513059020042419,18990
stable_shrubs,SWIR2,2011_2012,0.3882073760032654,0.9691262245178223,18990
stable_shrubs,SWIR2,2013_2014,0.386829674243927,0.892630398273468,18990
stable_shrubs,SWIR2,2015_2016,0.2901482582092285,0.779402494430542,18990
stable_trees,NBR,1997_1998,0.28854942321777344,0.8775262236595154,45845
stable_trees,NBR,1999_2000,0.41295140981674194,1.1164014339447021,45845
stable_trees,NBR,2001_2002,0.1004953533411026,1.151350736618042,45845
stable_trees,NBR,2003_2004,0.05011293292045593,1.0751272439956665,45845
stable_trees,NBR,2005_2006,0.22514717280864716,1.0684187412261963,45845
stable_trees,NBR,2007_2008,-0.03688015043735504,1.081421136856079,45845
stable_trees,NBR,2009_2010,-0.10139013081789017,0.9290505647659302,45845
stable_trees,NBR,2011_2012,0.11811097711324692,1.0175503492355347,45845
stable_trees,NBR,2013_2014,-0.029753481969237328,1.0342166423797607,45845
stable_trees,NBR,2015_2016,0.3485209047794342,1.0117475986480713,45845
stable_trees,NDMI,1997_1998,0.58711838722229,0.6219874024391174,45845
stable_trees,NDMI,1999_2000,0.7368305325508118,0.7718009948730469,45845
stable_trees,NDMI,2001_2002,0.48616841435432434,0.8569884300231934,45845
stable_trees,NDMI,2003_2004,0.45730164647102356,0.7522064447402954,45845
stable_trees,NDMI,2005_2006,0.5288037061691284,0.7716290950775146,45845
stable_trees,NDMI,2007_2008,0.3390747904777527,0.7797749042510986,45845
stable_trees,NDMI,2009_2010,0.30107858777046204,0.6174219250679016,45845
stable_trees,NDMI,2011_2012,0.4978146553039551,0.729053795337677,45845
stable_trees,NDMI,2013_2014,0.3240292966365814,0.7607627511024475,45845
stable_trees,NDMI,2015_2016,0.6664606928825378,0.7371992468833923,45845
stable_trees,NDVI,1997_1998,0.05823325738310814,1.0093944072723389,45845
stable_trees,NDVI,1999_2000,0.08781999349594116,1.2965624332427979,45845
stable_trees,NDVI,2001_2002,-0.19463549554347992,1.2889297008514404,45845
stable_trees,NDVI,2003_2004,-0.26572084426879883,1.2369641065597534,45845
stable_trees,NDVI,2005_2006,-0.055018045008182526,1.2154064178466797,45845
stable_trees,NDVI,2007_2008,-0.3089880347251892,1.177397608757019,45845
stable_trees,NDVI,2009_2010,-0.29230624437332153,1.0361130237579346,45845
stable_trees,NDVI,2011_2012,-0.11826147139072418,1.0840381383895874,45845
stable_trees,NDVI,2013_2014,-0.2939288020133972,1.1024335622787476,45845
stable_trees,NDVI,2015_2016,-0.017521865665912628,1.1884257793426514,45845
stable_trees,NIR,1997_1998,-0.5244622230529785,0.968268632888794,45845
stable_trees,NIR,1999_2000,-0.4441928565502167,1.2572370767593384,45845
stable_trees,NIR,2001_2002,-0.6155058145523071,1.1792219877243042,45845
stable_trees,NIR,2003_2004,-0.7141891121864319,1.094980239868164,45845
stable_trees,NIR,2005_2006,-0.5402895212173462,1.1089421510696411,45845
stable_trees,NIR,2007_2008,-0.6902452707290649,0.9743266105651855,45845
stable_trees,NIR,2009_2010,-0.7118059396743774,0.8694511651992798,45845
stable_trees,NIR,2011_2012,-0.541692852973938,0.9492729306221008,45845
stable_trees,NIR,2013_2014,-0.71589195728302,0.923467755317688,45845
stable_trees,NIR,2015_2016,-0.5792553424835205,1.093137264251709,45845
stable_trees,SWIR1,1997_1998,-1.0695945024490356,0.7804713249206543,45845
stable_trees,SWIR1,1999_2000,-1.1354029178619385,0.6754204034805298,45845
stable_trees,SWIR1,2001_2002,-1.0763952732086182,0.6881136894226074,45845
stable_trees,SWIR1,2003_2004,-1.1053422689437866,0.6857333183288574,45845
stable_trees,SWIR1,2005_2006,-1.1234947443008423,0.6309698224067688,45845
stable_trees,SWIR1,2007_2008,-1.0926191806793213,0.6984856128692627,45845
stable_trees,SWIR1,2009_2010,-1.0218403339385986,0.7052282691001892,45845
stable_trees,SWIR1,2011_2012,-0.9293135404586792,0.6634052395820618,45845
stable_trees,SWIR1,2013_2014,-1.0540343523025513,0.6532285809516907,45845
stable_trees,SWIR1,2015_2016,-1.1412874460220337,0.5262150764465332,45845
stable_trees,SWIR2,1997_1998,-1.0540721416473389,0.596963107585907,45845
stable_trees,SWIR2,1999_2000,-1.0967817306518555,0.4802173972129822,45845
stable_trees,SWIR2,2001_2002,-1.0135480165481567,0.5025761127471924,45845
stable_trees,SWIR2,2003_2004,-1.066759467124939,0.48413464426994324,45845
stable_trees,SWIR2,2005_2006,-1.082258939743042,0.44387370347976685,45845
stable_trees,SWIR2,2007_2008,-1.0576298236846924,0.49508732557296753,45845
stable_trees,SWIR2,2009_2010,-1.035470724105835,0.5569547414779663,45845
stable_trees,SWIR2,2011_2012,-0.9568945169448853,0.5080050230026245,45845
stable_trees,SWIR2,2013_2014,-1.0287535190582275,0.5106485486030579,45845
stable_trees,SWIR2,2015_2016,-1.0902398824691772,0.3704802691936493,45845
stable_wetland,NBR,1997_1998,-0.15990562736988068,1.05917227268219,71229
stable_wetland,NBR,1999_2000,-0.2507484257221222,0.8681418299674988,71229
stable_wetland,NBR,2001_2002,-0.06992944329977036,0.8994144201278687,71229
stable_wetland,NBR,2003_2004,-0.07693333923816681,0.9554001688957214,71229
stable_wetland,NBR,2005_2006,-0.18213728070259094,0.9695143699645996,71229
stable_wetland,NBR,2007_2008,0.0015473458915948868,0.9841065406799316,71229
stable_wetland,NBR,2009_2010,-0.01700741797685623,1.037596344947815,71229
stable_wetland,NBR,2011_2012,-0.10775468498468399,1.0020796060562134,71229
stable_wetland,NBR,2013_2014,0.0007345007616095245,0.9905484914779663,71229
stable_wetland,NBR,2015_2016,-0.26152750849723816,0.9505981206893921,71229
stable_wetland,NDMI,1997_1998,-0.282597154378891,1.0575530529022217,71229
stable_wetland,NDMI,1999_2000,-0.41660189628601074,0.9137151837348938,71229
stable_wetland,NDMI,2001_2002,-0.26404643058776855,0.9825993180274963,71229
stable_wetland,NDMI,2003_2004,-0.28582265973091125,1.040684461593628,71229
stable_wetland,NDMI,2005_2006,-0.3358266055583954,1.0386344194412231,71229
stable_wetland,NDMI,2007_2008,-0.19595278799533844,1.1009286642074585,71229
stable_wetland,NDMI,2009_2010,-0.21825802326202393,1.1383236646652222,71229
stable_wetland,NDMI,2011_2012,-0.29465606808662415,1.0445501804351807,71229
stable_wetland,NDMI,2013_2014,-0.17856045067310333,1.0951741933822632,71229
stable_wetland,NDMI,2015_2016,-0.4341496229171753,0.9505075216293335,71229
stable_wetland,NDVI,1997_1998,-0.050206925719976425,1.0414620637893677,71229
stable_wetland,NDVI,1999_2000,-0.08271545171737671,0.8346632719039917,71229
stable_wetland,NDVI,2001_2002,0.07596296072006226,0.8202276229858398,71229
stable_wetland,NDVI,2003_2004,0.08321425318717957,0.8428554534912109,71229
stable_wetland,NDVI,2005_2006,-0.03394637629389763,0.908502459526062,71229
stable_wetland,NDVI,2007_2008,0.14542479813098907,0.9036327004432678,71229
stable_wetland,NDVI,2009_2010,0.07693394273519516,0.9804481267929077,71229
stable_wetland,NDVI,2011_2012,0.012284384109079838,1.0028448104858398,71229
stable_wetland,NDVI,2013_2014,0.1379772424697876,0.9489065408706665,71229
stable_wetland,NDVI,2015_2016,-0.05541339889168739,0.9191327095031738,71229
stable_wetland,NIR,1997_1998,0.28384414315223694,0.9578618407249451,71229
stable_wetland,NIR,1999_2000,0.2389126569032669,0.7918678522109985,71229
stable_wetland,NIR,2001_2002,0.3338496685028076,0.764413595199585,71229
stable_wetland,NIR,2003_2004,0.36997342109680176,0.7519636154174805,71229
stable_wetland,NIR,2005_2006,0.2768875062465668,0.8699784278869629,71229
stable_wetland,NIR,2007_2008,0.3959321677684784,0.8698832988739014,71229
stable_wetland,NIR,2009_2010,0.34815123677253723,0.9089171290397644,71229
stable_wetland,NIR,2011_2012,0.27908453345298767,0.9675114750862122,71229
stable_wetland,NIR,2013_2014,0.4060031771659851,0.8725355863571167,71229
stable_wetland,NIR,2015_2016,0.30918675661087036,0.8470403552055359,71229
stable_wetland,SWIR1,1997_1998,0.5360033512115479,0.6170503497123718,71229
stable_wetland,SWIR1,1999_2000,0.6291295289993286,0.5649011135101318,71229
stable_wetland,SWIR1,2001_2002,0.5922806262969971,0.6432594060897827,71229
